code_iata;icao_code;timezone;gmt_offset;raw_offset;dst_offset;name;ordre
TOP;KTOP;America/Chicago;-6;-6;-5;Philip Billard Municipal Airport;4386
TYD;UHBW;Asia/Yakutsk;9;9;9;Tynda Airport;4387
TZN;MYAK;America/Nassau;-5;-5;-4;South Andros Airport;4388
UKT;KUKT;America/New_York;-5;-5;-4;Quakertown Airport;4389
UMD;BGUM;America/Nuuk;-2;-2;-1;Uummannaq Heliport;4390
VDI;KVDI;America/New_York;-5;-5;-4;Vidalia Regional Airport;4391
VKV;ULAH;Europe/Moscow;3;3;3;Vaskovo Airport;4392
VXC;FQLC;Africa/Maputo;2;2;2;Lichinga;4393
WBR;KRQB;America/Detroit;-5;-5;-4;Roben-Hood Airport;4394
WDI;YWND;Australia/Brisbane;10;10;10;Wondai Airport;4395
WFK;KFVE;America/New_York;-5;-5;-4;Northern Aroostook Regional Airport;4396
WIO;YWCA;Australia/Sydney;11;10;10;Wilcannia Airport;4397
WMN;FMNR;Indian/Antananarivo;3;3;3;Maroantsetra Airport;4398
WRB;KWRB;America/New_York;-5;-5;-4;Robins Air Force Base;4399
XCM;CYCK;America/Toronto;-5;-5;-4;Chatham-Kent Airport;4400
YCL;CYCL;America/Moncton;-4;-4;-3;Charlo Airport;4401
YDP;CYDP;America/Goose_Bay;-4;-4;-3;Nain Airport;4402
YIO;CYIO;America/Iqaluit;-5;-5;-4;Pond Inlet Airport;4403
YQS;CYQS;America/Toronto;-5;-5;-4;St. Thomas Municipal Airport;4404
YRJ;CYRJ;America/Toronto;-5;-5;-4;Roberval Airport;4405
YZE;CYZE;America/Toronto;-5;-5;-4;Gore Bay-Manitoulin Airport;4406
ZND;DRZR;Africa/Niamey;1;1;1;Zinder Airport;4407
ABK;HAKD;Africa/Addis_Ababa;3;3;3;Kabri Dar Airport;4408
ATS;KATS;America/Denver;-7;-7;-6;Artesia Municipal Airport;4409
AUM;KAUM;America/Chicago;-6;-6;-5;Austin Municipal Airport;4410
AVR;LPAR;Europe/Lisbon;0;0;1;Alverca Airport;4411
BBW;KBBW;America/Chicago;-6;-6;-5;Broken Bow Municipal Airport;4412
BDD;YBAU;Australia/Brisbane;10;10;10;Badu Island Airport;4413
BKE;KBKE;America/Los_Angeles;-8;-8;-7;Baker Municipal Airport;4414
BQG;UHNB;Asia/Vladivostok;10;10;10;Bogorodskoye;4415
CBE;KCBE;America/New_York;-5;-5;-4;Greater Cumberland Regional Airport;4416
CCW;YCWL;Australia/Adelaide;10,5;9,5;9,5;Cowell Airport;4417
CDH;KCDH;America/Chicago;-6;-6;-5;Harrell Field;4418
CES;YCNK;Australia/Sydney;11;10;10;Cessnock Airport;4419
